CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segmento
12346,529,11,372.86,1,5,2,152,8,Otros
12347,2,8,5633.32,5,4,5,545,14,Campeones
12348,75,5,2019.4,3,4,4,344,11,Leales
12349,19,3,3678.69,5,3,5,535,13,Otros
12350,310,1,334.40000000000003,2,1,2,212,5,Necesitan atención
12351,375,1,300.93,2,1,2,212,5,Necesitan atención
12352,36,9,2009.54,4,5,4,454,13,Campeones
12353,204,2,406.76,2,2,2,222,6,Necesitan atención
12354,232,1,1079.4,2,1,3,213,6,Necesitan atención
12355,214,2,947.61,2,2,3,223,7,Necesitan atención
12356,23,6,6373.68,4,4,5,445,13,Campeones
12357,33,2,17437.66,4,2,5,425,11,Potenciales leales
12358,2,5,3887.07,5,4,5,545,14,Campeones
12359,58,10,8935.94,4,5,5,455,14,Campeones
12360,52,8,4252.89,4,4,5,445,13,Campeones
12361,287,4,511.25,2,3,2,232,7,Necesitan atención
12362,3,11,5356.2300000000005,5,5,5,555,15,Campeones
12363,110,2,552.0,3,2,2,322,7,Necesitan atención
12364,8,4,1313.1,5,3,4,534,12,Otros
12365,291,1,320.69,2,1,2,212,5,Necesitan atención
12366,634,1,500.24,1,1,2,112,4,Necesitan atención
12367,4,1,168.9,5,1,1,511,7,Potenciales leales
12368,628,1,917.7,1,1,3,113,5,Necesitan atención
12369,413,3,1791.15,1,3,4,134,8,En riesgo
12370,51,7,4320.31,4,4,5,445,13,Campeones
12371,45,5,4067.38,4,4,5,445,13,Campeones
12372,72,3,1298.04,3,3,4,334,10,Otros
12373,311,3,1127.65,2,3,3,233,8,En riesgo
12374,25,4,2989.2200000000003,4,3,5,435,12,Otros
12375,11,2,457.5,5,2,2,522,9,Potenciales leales
12376,390,2,503.15,2,2,2,222,6,Necesitan atención
12377,315,4,3426.32,2,3,5,235,10,En riesgo
12378,130,2,5416.32,3,2,5,325,10,Otros
12379,82,4,1620.22,3,3,4,334,10,Otros
12380,22,9,7967.650000000001,4,5,5,455,14,Campeones
12381,5,5,1845.31,5,4,4,544,13,Campeones
12383,185,5,1850.56,3,4,4,344,11,Leales
12384,29,2,585.27,4,2,2,422,8,Potenciales leales
12385,379,1,1938.4,2,1,4,214,7,Otros
12386,338,2,660.8,2,2,3,223,7,Necesitan atención
12387,415,1,143.94,1,1,1,111,3,Necesitan atención
12388,16,8,3901.11,5,4,5,545,14,Campeones
12389,403,3,1433.33,2,3,4,234,9,En riesgo
12390,80,1,549.84,3,1,2,312,6,Necesitan atención
12391,22,6,2773.42,4,4,4,444,12,Campeones
12392,591,1,234.75,1,1,1,111,3,Necesitan atención
12393,72,6,2399.45,3,4,4,344,11,Leales
12394,64,2,1272.48,3,2,4,324,9,Otros
