CustomerID,Recency,Frequency,Monetary
17850,372,155,56600.08
13093,276,55,54943.65
16754,428,21,35398.15
12482,576,27,21423.32
15808,306,21,18409.93
13564,354,36,16698.91
17448,497,46,14556.97
15032,256,8,13780.65
13952,218,14,12823.521
14134,383,15,11123.35
18087,380,15,10705.8
17230,264,18,9924.95
17504,206,18,9565.12
14063,687,7,9471.5
14439,320,5,9443.04
14828,197,13,9257.46
13715,281,17,8483.29
14160,610,7,8421.47
13206,400,13,8377.32
18231,192,28,6880.97
15413,692,5,6798.72
13734,509,4,6701.64
15332,366,6,6553.74
14154,239,8,6265.7
15369,492,11,6251.26
13935,597,3,6116.92
12835,428,41,6043.31
14105,239,5,5988.83
13615,319,8,5977.53
14249,411,12,5625.461
16546,291,5,5606.47
14081,302,10,5370.1
14442,205,7,5367.02
12625,212,4,5164.88
13659,206,12,4894.88
13044,291,11,4853.9
17829,299,5,4756.74
13958,380,8,4709.2300000000005
16858,369,10,4668.28
14685,576,8,4619.79
17406,333,13,4610.05
16125,367,14,4587.65
17508,281,8,4579.23
14648,416,15,4546.86
14625,196,11,4497.88
17138,276,7,4417.27
15633,509,13,4352.46
16072,288,4,4328.89
12967,358,3,4306.92
14740,197,11,4161.06
17646,219,12,4149.79
14025,465,8,4057.9
13542,377,17,4006.17
17307,395,11,3999.89
14817,200,7,3959.86
14465,247,11,3946.03
15823,372,3,3897.17
13446,430,11,3881.89
14532,236,11,3859.18
13357,257,5,3838.36
16636,438,4,3802.04
15079,213,11,3767.35
12623,276,7,3747.84
16772,423,3,3723.55
12857,211,6,3688.0
12872,327,12,3685.49
16718,369,5,3647.53
14770,232,8,3637.64
15222,319,11,3550.91
16336,421,4,3517.69
17597,214,5,3484.09
12377,315,4,3426.32
17876,400,3,3424.02
13031,407,5,3419.27
16067,563,3,3395.29
13707,267,5,3365.86
13786,367,6,3358.94
15538,538,6,3358.4
16351,333,13,3330.03
14161,216,7,3318.88
13214,418,7,3264.23
15057,275,5,3255.96
14669,242,7,3243.93
15353,255,7,3175.95
13052,212,7,3168.53
12976,212,8,3156.38
15614,438,4,3147.36
17145,513,4,3120.91
13485,233,11,3019.2200000000003
13963,308,17,3011.87
14590,425,20,3006.62
17032,548,8,3004.6
16736,506,5,2956.56
15235,218,16,2937.81
15100,334,7,2894.7
13501,288,3,2885.11
16163,232,6,2849.58
16335,552,7,2774.0
15817,421,3,2766.4
12982,243,8,2744.81
17241,385,12,2744.14
12986,429,10,2729.84
14496,312,7,2668.23
13819,302,6,2642.35
14195,202,6,2615.6
14431,303,4,2614.2
13151,296,3,2580.74
16499,360,8,2578.34
17550,197,9,2547.64
17465,426,7,2542.79
16889,195,6,2530.9
12978,385,5,2502.82
16202,361,9,2501.99
16795,365,3,2492.39
12725,371,3,2474.56
14256,260,5,2473.99
13762,219,5,2472.48
17732,373,8,2470.39
15221,366,4,2465.45
12733,234,4,2424.87
15658,190,8,2423.4700000000003
16812,361,4,2392.0
16742,493,13,2387.71
16105,249,5,2386.19
16065,365,8,2382.62
15015,501,13,2365.02
17113,574,6,2322.59
15946,503,3,2304.1800000000003
13059,250,10,2303.17
18095,313,5,2303.09
18051,634,7,2282.28
15638,379,6,2265.2
16823,227,7,2260.09
13407,579,3,2244.7
15629,450,4,2240.9
13478,469,5,2215.78
15476,380,4,2209.98
17822,420,5,2188.5
15649,336,4,2170.35
15944,277,4,2164.24
16467,509,7,2161.76
18009,235,8,2155.83
16275,197,3,2151.11
18239,219,6,2150.36
16716,267,3,2149.6800000000003
16004,475,5,2146.39
13152,417,7,2146.38
14634,438,4,2124.46
15456,283,10,2119.27
14399,394,8,2113.16
14469,416,4,2112.21
12975,437,6,2100.09
16510,372,6,2100.0
13753,288,4,2094.57
14896,205,8,2092.42
18026,501,2,2074.07
16290,465,4,2069.3
14988,212,7,2066.6
12806,435,4,2059.7200000000003
18258,464,6,2059.67
16176,421,4,2052.69
13874,358,7,2049.15
14000,211,5,2046.34
16331,432,6,2037.7
14225,435,4,2037.02
12873,282,3,2027.3
13696,422,3,2020.4
16197,469,9,2016.71
17152,195,4,2016.5
16529,190,4,2012.0
13693,374,9,2011.82
12582,239,4,1980.4
16032,456,6,1970.45
15789,358,6,1962.01
16993,464,2,1950.95
15425,400,4,1944.57
16619,264,4,1938.33
14492,430,7,1921.91
18220,227,6,1921.76
15248,411,3,1893.93
16631,482,7,1892.52
15381,214,5,1890.57
14130,319,4,1882.67
16725,302,14,1882.11
16917,277,2,1857.83
14870,262,6,1838.95
16797,393,5,1827.77
13561,216,11,1820.72
16634,223,6,1814.61
