CustomerID,Recency,Frequency,Monetary
15390,396,2,1216.66
14193,68,3,1210.19
18193,165,3,1207.35
12742,626,1,1201.52
14213,405,1,1192.2
13388,131,3,1185.65
13526,738,2,1182.0
13395,185,3,1180.23
13270,366,1,1180.0
17058,82,3,1179.89
16614,183,3,1179.79
13233,74,4,1176.46
12885,63,3,1175.22
12915,149,4,1174.75
13459,625,2,1160.41
17513,72,3,1158.8
12439,683,2,1158.18
13744,95,2,1156.36
14475,72,4,1151.15
12710,97,3,1149.02
16766,273,2,1145.6
12769,239,1,1143.6
16270,353,1,1141.24
16723,108,3,1136.63
17866,143,3,1134.95
13109,60,3,1134.03
14375,185,3,1132.99
12616,95,3,1131.1
14671,549,2,1127.45
13778,103,4,1124.49
14917,597,2,1123.75
13486,78,3,1122.41
17788,74,2,1117.9
16278,100,3,1117.84
12648,155,4,1112.0
15069,179,1,1109.53
15559,568,1,1109.4
15828,375,1,1108.82
14891,148,4,1106.73
12434,85,3,1103.43
16223,375,2,1102.35
13108,373,2,1098.52
12803,393,1,1092.81
16211,89,3,1090.59
12534,131,1,1089.18
15254,127,3,1088.35
14561,76,3,1080.76
12354,232,1,1079.4
15546,607,2,1079.1
14352,157,4,1078.96
13656,165,4,1078.85
12801,501,1,1071.82
15626,75,3,1067.52
15639,134,3,1065.08
14488,68,1,1064.28
12815,148,2,1063.46
14411,311,1,1063.0
15706,64,4,1060.56
12580,247,2,1052.9
13775,591,1,1049.66
15464,338,1,1048.85
17474,600,1,1047.0
15091,68,3,1046.61
13359,64,2,1043.31
16991,421,1,1041.21
12486,432,1,1037.28
17724,71,3,1033.0
13000,107,4,1032.5
13235,212,1,1031.07
16198,75,2,1030.0410000000002
14932,366,2,1029.66
15333,208,1,1028.56
15104,197,2,1027.44
17749,178,3,1026.18
16160,65,2,1025.44
13602,65,4,1025.17
16568,428,2,1020.9
13376,99,3,1019.76
18142,157,2,1019.52
17941,131,3,1018.56
12905,577,2,1018.42
15970,304,2,1017.32
12652,331,2,1017.03
16451,88,3,1013.15
15713,143,4,1010.79
16572,127,3,1009.6
12862,426,2,1008.32
12703,71,4,1006.53
15363,373,2,1004.11
17464,158,3,1000.94
12545,75,2,1000.39
18143,117,2,1000.16
13005,174,4,999.68
12413,67,4,999.45
12722,85,4,997.63
14223,92,3,991.13
13559,513,2,990.0
15176,668,1,988.04
14142,373,2,983.15
12543,448,1,980.25
17123,162,3,977.17
15247,122,3,976.06
15165,373,1,975.5
17958,117,2,973.88
13204,731,1,966.66
15084,380,2,965.2
12550,79,1,964.83
16763,199,2,964.7
12675,554,2,958.5
18192,72,1,957.97
17172,79,3,956.57
16141,88,2,955.94
12505,409,1,955.2
15430,468,2,954.75
12767,376,1,949.82
15177,426,1,948.93
12822,71,2,948.88
12874,385,2,948.42
12355,214,2,947.61
13261,269,2,944.1
12942,131,3,942.65
13936,180,3,939.66
16781,372,2,934.25
15792,400,2,933.84
12396,674,1,931.43
13465,446,2,931.12
14338,161,3,928.1
15243,74,2,927.28
14128,61,3,924.21
16643,246,2,923.11
13122,94,2,922.39
13934,264,1,922.1
14272,74,4,920.81
14568,435,1,919.7
13075,130,1,919.61
12368,628,1,917.7
15364,96,2,913.19
15244,65,3,912.08
14133,130,4,911.14
13548,96,3,908.99
13038,80,3,908.46
14969,704,1,906.23
17480,78,2,902.03
12945,288,2,900.11
15710,417,1,898.87
13996,386,2,895.76
12772,60,1,892.47
15824,453,2,890.94
17704,169,2,885.19
13166,283,2,884.18
16677,411,2,880.62
13937,169,2,880.13
14612,415,1,877.7
14645,157,3,876.89
13768,727,2,875.97
14753,87,2,869.51
16567,194,2,865.6
14600,306,2,865.17
13339,201,1,860.12
14372,443,2,860.08
12440,462,2,859.2
17161,444,1,856.01
12878,236,2,854.99
14973,107,3,854.45
13945,395,2,854.1500000000001
14873,210,2,854.13
12696,435,2,851.91
17674,74,2,851.7
15264,64,2,848.4
15784,468,2,848.33
13221,240,2,847.41
13970,386,2,846.55
14803,162,3,845.5500000000001
14922,394,2,843.74
16810,192,2,842.0400000000001
13169,64,3,840.08
16264,438,2,837.53
15832,254,1,836.79
13386,414,2,835.46
15190,434,1,834.4399999999999
16644,178,2,833.78
12903,429,1,833.5300000000001
13175,582,2,831.45
15766,64,3,831.0600000000001
12730,522,1,829.25
16246,460,2,827.25
12792,257,2,827.01
12461,94,2,826.88
12781,64,2,826.74
16494,297,1,826.53
13513,127,3,824.59
15137,521,2,823.4
13893,298,1,821.1
16135,263,2,819.45
13612,633,1,818.29
13514,74,4,815.9
12763,138,2,814.16
15644,166,4,813.0
16624,81,2,810.5699999999999
16958,435,1,809.44
13045,99,3,808.9200000000001
12797,366,2,806.11
18052,565,1,805.6
12632,521,2,804.88
18248,123,2,804.02
18265,72,2,801.51
13720,117,4,799.9
15396,113,2,796.3800000000001
13336,77,1,795.12
16961,116,3,794.56
14022,225,2,792.15
13016,73,3,789.89
12923,64,3,789.87
16472,434,2,789.6
15448,313,2,788.81
14557,85,1,788.38
16468,74,3,787.52
14463,98,4,786.5699999999999
16739,177,2,786.4300000000001
13541,427,2,785.25
12761,458,2,782.95
13453,166,3,781.69
12735,315,2,779.5699999999999
13745,162,2,777.36
15837,65,2,777.01
15794,736,2,777.0
13341,261,1,775.85
16447,136,3,775.14
14838,423,2,773.6700000000001
15075,78,1,773.03
12965,89,1,771.91
14998,170,4,770.73
16480,76,1,769.29
16978,78,3,768.88
13356,80,1,768.24
13712,247,2,766.42
15908,491,2,764.57
13699,155,2,764.1500000000001
16262,378,1,755.15
13730,136,2,752.6
16216,267,1,749.9300000000001
16465,421,2,746.24
12871,84,3,744.02
13354,71,1,743.53
15922,373,1,739.0
15462,94,4,737.05
16075,503,2,736.9300000000001
15045,152,2,735.66
13286,600,1,734.91
12537,409,1,732.94
14778,127,2,730.86
18163,584,1,728.84
12786,610,1,728.5
12519,64,2,726.54
18187,632,1,724.89
12745,487,2,723.85
13264,443,1,722.5600000000001
13441,92,2,720.9
13537,426,2,717.85
13604,659,1,717.62
16269,438,1,717.57
16526,172,2,717.21
12535,92,2,716.35
16274,373,1,715.9
12492,63,3,715.21
14026,471,2,713.11
15127,66,2,711.5
13687,438,1,709.8000000000001
13927,75,2,708.26
12485,529,1,708.1
14398,401,2,707.7900000000001
16449,198,2,707.69
12453,134,1,707.09
13626,253,2,707.04
16309,106,2,706.57
17976,372,1,706.38
14880,77,3,706.19
16882,67,3,705.12
12612,74,1,704.04
14324,410,2,701.61
13833,159,2,701.36
14356,80,2,701.23
14497,309,2,697.0600000000001
15700,172,2,696.68
15995,414,1,696.19
16704,618,2,695.66
14959,64,4,695.42
