CustomerID,Recency,Frequency,Monetary
14646,2,147,507320.36
18102,1,141,502933.07
14156,10,150,298240.63
14911,1,381,284055.08
13694,4,139,190862.73
17511,3,60,175334.75
12415,24,27,138694.93
17450,8,48,137451.93
16684,4,53,137007.41
15061,4,124,131433.88
13089,3,203,116737.86
15311,1,208,116639.16
14298,8,81,90816.49
16029,39,104,86983.35
15769,7,46,80664.32
13798,1,110,75836.87
17841,2,211,70884.07
12931,22,52,67417.1
17949,8,85,64371.3
14088,10,16,64036.8
13081,12,28,59205.15
14680,25,58,57412.77
17389,1,61,57224.68
16422,17,107,56777.75
14096,4,17,53384.8
13777,1,60,53048.58
12748,1,330,52911.27
13408,2,106,51733.462
16013,4,76,48108.4
13881,4,43,45179.1
16705,1,42,43515.051
17404,4,23,41587.92
14031,7,44,40999.17
15039,10,93,40031.43
12471,2,78,39483.79
17675,1,70,38259.6
17677,2,54,36692.91
15838,11,29,36147.24
12921,9,74,35921.04
13767,2,73,35540.53
15856,4,52,34220.340000000004
16779,2,53,33268.24
12678,42,20,32468.7
17428,1,45,31704.56
12709,15,33,30877.34
12681,15,45,30868.28
14606,1,192,30861.06
14258,9,25,30740.94
13078,3,57,29532.45
13098,1,28,28882.44
16210,2,35,28726.31
14527,3,122,27792.3
17381,9,35,27228.93
15513,33,34,26995.55
17865,31,46,26374.39
15498,3,44,26039.58
12731,24,17,25775.71
14062,10,24,25417.6
14895,8,37,24824.54
16525,2,48,24582.64
17920,4,54,24516.46
12621,2,35,24385.81
13001,4,33,24172.1
12682,4,52,24033.91
15640,4,29,23957.58
17857,4,20,23677.9
16133,4,56,22992.26
14051,1,37,22434.0
17340,30,18,22404.82
16839,9,44,22310.49
12540,20,33,22254.49
15159,2,34,22116.73
13319,5,58,22082.5
14667,11,54,21927.14
12753,23,6,21429.39
15615,10,47,21373.97
13340,45,12,21095.84
17243,1,69,20889.86
14866,11,19,20850.22
17706,4,31,20749.98
12433,1,10,20581.26
14607,16,20,20372.03
15251,9,21,20324.54
12477,23,9,20276.37
16843,43,35,19571.43
17139,16,25,19419.46
12557,16,8,18716.14
14194,5,36,18670.59
13113,1,37,18625.73
17581,1,42,18367.75
17377,24,78,18319.41
16746,5,42,18066.4
12472,32,19,17880.59
15078,7,53,17761.88
12647,22,35,17634.35
16652,59,16,17550.39
15189,1,46,17524.38
16019,47,27,17465.85
17416,30,22,17298.45
18172,15,52,17184.84
17735,2,26,17079.93
15358,5,42,17050.41
15125,25,24,17024.87
14961,11,22,16410.15
13225,3,16,16260.07
15044,19,35,16204.33
14733,16,15,16184.97
17107,33,10,16075.42
17716,23,24,15956.97
14769,3,17,15771.88
14849,22,43,15763.45
16191,3,24,15688.02
16656,22,30,15623.57
13488,17,23,15587.88
12949,31,22,15526.7
13199,4,67,15465.21
18092,2,18,14967.44
15601,11,30,14960.12
14543,29,39,14906.77
12971,4,116,14842.39
16126,29,15,14646.8
15482,16,19,14592.56
16713,19,32,14560.69
14299,8,27,14499.49
12583,3,27,14447.44
16873,5,12,14267.39
15093,18,23,14205.15
12476,16,23,14115.41
17017,3,29,14110.61
15005,16,56,14106.2
13090,9,24,14103.09
12714,9,12,14093.71
13178,26,21,14059.19
18223,5,26,14000.85
16558,1,38,13873.51
15291,26,40,13846.56
15382,15,12,13733.55
12567,23,15,13709.86
13468,2,72,13390.51
16923,12,32,13378.36
15738,19,41,13372.97
13629,23,19,13370.86
13969,7,35,13365.87
12744,56,9,13320.76
14049,17,13,13239.03
16549,10,34,13182.19
13668,3,35,13089.94
13097,33,27,13080.48
18225,3,26,13054.26
14110,4,33,12987.95
16161,2,43,12831.8
17858,6,30,12797.65
12683,4,21,12696.78
12437,2,39,12683.4
12451,11,8,12669.88
15465,20,32,12655.65
14040,41,35,12645.57
13013,1,29,12625.77
16814,14,36,12499.71
15194,3,28,12427.69
12474,17,31,12424.45
14936,34,12,12410.81
13050,15,35,12344.53
14739,4,25,12287.5
13854,9,39,12253.96
14735,4,56,12240.16
13418,12,31,12233.6
15023,3,20,12170.68
15144,8,29,12160.31
17338,17,17,12142.57
15555,12,36,12112.35
14415,1,23,12091.6
12481,23,14,12055.39
14505,17,19,12001.84
17044,25,12,11962.3
13458,7,16,11959.27
12989,3,31,11931.75
16523,2,28,11916.33
18226,44,26,11878.88
12705,15,14,11762.1
14426,24,17,11727.94
17364,1,27,11711.95
13102,1,37,11696.92
13004,12,36,11650.85
13576,10,28,11551.74
15218,11,22,11516.57
12668,12,10,11444.68
13680,1,12,11435.67
17809,16,20,11337.39
12539,22,7,11214.75
18055,7,14,11195.57
16258,45,15,11136.12
12524,9,17,11126.11
13941,22,15,11122.3
17133,16,12,11010.33
14796,1,27,10889.64
12431,36,27,10857.97
15502,16,13,10837.52
16033,6,27,10836.13
15694,1,24,10810.81
18229,12,28,10803.71
16168,11,66,10636.47
16327,14,16,10610.38
13324,36,18,10513.47
13316,37,10,10498.77
15290,5,26,10496.28
16782,10,38,10438.41
15296,51,12,10342.83
16985,17,22,10333.16
14422,1,19,10271.52
15719,33,31,10223.06
17160,31,17,10209.16
15805,23,30,10189.23
13599,1,33,10167.63
15547,7,26,10154.39
14085,2,33,10104.97
12839,3,26,10071.73
12766,4,9,10068.28
13985,4,22,10020.86
16353,4,38,9999.46
14755,10,25,9972.55
16131,52,12,9957.42
17049,3,19,9947.48
14329,17,15,9927.22
18109,2,38,9893.96
13327,39,20,9879.48
16701,9,26,9859.13
12490,5,21,9823.64
13735,25,13,9813.22
14944,30,19,9784.67
13018,16,35,9763.16
13267,3,36,9758.26
17315,2,43,9650.6
17811,4,47,9609.8
14060,5,30,9519.08
13999,10,29,9502.26
14135,2,24,9499.92
13174,16,12,9494.84
15298,2,23,9459.37
14146,9,12,9450.3
17757,1,56,9422.45
13758,12,15,9416.98
15981,25,21,9362.77
15570,7,25,9311.04
12747,2,26,9276.54
15249,32,18,9266.0
14367,8,16,9261.52
14292,8,16,9226.25
13756,2,23,9207.5
16700,9,25,9167.71
17068,12,47,9161.08
15867,5,31,9063.95
17576,8,41,9056.81
16186,23,26,9026.11
15150,17,13,9001.08
16722,17,22,8989.08
15903,10,12,8939.84
12359,58,10,8935.94
13269,1,28,8891.7
14709,15,25,8886.33
13448,17,12,8881.16
12901,10,23,8874.68
15727,17,14,8855.51
17396,39,14,8807.1
13047,32,24,8795.16
15984,3,30,8759.32
18041,12,38,8752.38
12957,10,13,8706.97
13263,1,39,8704.69
13069,1,38,8703.93
15955,24,22,8658.36
15497,18,9,8657.39
13148,29,26,8621.81
16945,22,33,8548.16
15281,59,16,8543.57
15270,16,21,8524.86
15786,46,5,8514.82
13209,30,13,8509.51
14286,24,7,8479.76
17306,11,19,8450.35
18139,18,6,8438.34
14057,24,22,8408.84
16532,18,5,8382.24
17611,7,28,8371.98
14676,31,12,8356.79
15034,16,14,8313.4
15998,37,16,8308.34
17686,7,9,8296.81
12720,3,30,8260.67
14525,20,17,8240.64
17365,13,15,8224.98
13381,32,12,8224.37
14056,1,23,8214.65
14395,2,20,8208.01
13139,16,8,8202.98
13426,1,22,8167.38
15544,9,20,8162.43
16672,2,20,8134.94
17593,4,11,8095.8
17426,8,13,8077.77
16767,31,15,8073.8
16670,17,20,8030.150000000001
12380,22,9,7967.650000000001
14159,20,20,7938.01
14030,18,20,7932.29
16303,26,7,7928.27
12867,26,13,7913.29
14291,2,23,7904.1
13871,23,17,7885.85
15622,43,17,7852.610000000001
14282,3,25,7849.66
15046,9,25,7812.389999999999
17091,3,19,7811.1
16592,4,28,7807.91
17238,3,32,7783.1
14800,48,17,7774.32
17730,3,20,7773.8
17739,12,18,7730.59
13534,2,35,7720.900000000001
14688,8,28,7713.57
13137,11,16,7712.7
17696,38,27,7679.59
15301,51,17,7603.44
14145,47,7,7600.05
13709,4,18,7591.75
12841,5,40,7540.68
15179,18,13,7491.92
12429,9,8,7485.91
13815,22,8,7475.74
16242,8,14,7474.4
17602,2,14,7451.13
17690,30,20,7448.1
14243,9,17,7431.05
12428,26,8,7405.26
16333,8,16,7346.400000000001
17965,38,29,7240.98
16729,38,21,7239.92
14092,8,24,7229.45
17231,12,25,7197.04
12712,29,21,7193.66
13451,26,11,7190.92
15950,32,10,7180.71
14841,53,14,7163.0
16570,15,20,7139.31
13983,30,21,7108.45
15521,40,16,7106.69
17769,13,17,7103.08
14113,4,16,7092.610000000001
13183,8,15,7036.18
17975,15,24,7028.83
13831,16,18,7023.58
12662,1,20,6988.02
16717,24,14,6986.2300000000005
16265,9,12,6935.17
16187,32,15,6911.4400000000005
13520,59,11,6909.4
12749,4,9,6897.36
16170,51,20,6869.0
15129,50,23,6860.18
16401,1,23,6849.15
12613,57,10,6835.07
12417,3,20,6816.91
16145,9,19,6805.4400000000005
15750,3,18,6797.191
14401,4,22,6795.9
13993,43,19,6775.71
14702,1,29,6754.22
18118,11,29,6733.22
14562,4,26,6729.400000000001
17838,27,13,6722.900000000001
12779,38,14,6722.27
14388,10,16,6701.0
12913,5,13,6700.86
16497,50,23,6695.28
13384,31,11,6680.83
17700,17,14,6679.97
17001,1,19,6640.8
14440,8,13,6638.7300000000005
13394,2,19,6621.7
12626,23,9,6620.4800000000005
15514,12,18,6598.55
12836,59,15,6585.62
13883,11,15,6560.02
14766,8,11,6556.13
16655,18,13,6548.37
14221,42,17,6517.49
17419,11,18,6500.52
18061,22,28,6488.97
16940,52,8,6427.66
12656,17,8,6407.83
14390,10,13,6399.83
12406,22,5,6390.36
12356,23,6,6373.68
12484,33,12,6370.15
14227,26,15,6368.71
13230,4,30,6360.78
13590,11,18,6349.59
16710,19,22,6349.09
17799,22,20,6341.89
18245,7,20,6324.9800000000005
13654,43,11,6308.0
13136,56,13,6274.56
